frame.number,frame.time_relative,eth.src,eth.dst,ip.src,ip.dst,udp.srcport,udp.dstport,dhcp.id,dhcp.hw.mac_addr,dhcp.ip.client,dhcp.ip.your,dhcp.option.dhcp,dhcp.option.requested_ip_address,dhcp.option.dhcp_server_id,dhcp.option.subnet_mask,dhcp.option.router,dhcp.option.domain_name_server,dhcp.option.ip_address_lease_time
"1","0.000000000","e8:b0:c5:2e:64:4a","10:4f:58:6c:24:00","10.21.225.70","10.3.9.2","68","67","0x7df8922e","e8:b0:c5:2e:64:4a,e8:b0:c5:2e:64:4a","10.21.225.70","0.0.0.0","7",,"10.3.9.2",,,,
"2","3.282382000","e8:b0:c5:2e:64:4a","ff:ff:ff:ff:ff:ff","0.0.0.0","255.255.255.255","68","67","0x4d8d939a","e8:b0:c5:2e:64:4a,e8:b0:c5:2e:64:4a","0.0.0.0","0.0.0.0","1","10.21.225.70",,,,,
"3","3.297990300","10:4f:58:6c:24:00","e8:b0:c5:2e:64:4a","10.3.9.2","255.255.255.255","67","68","0x4d8d939a","e8:b0:c5:2e:64:4a","0.0.0.0","10.21.225.70","2",,"10.3.9.2","255.255.128.0","10.21.128.1","10.3.9.6,10.3.9.5,10.3.9.4","3600"
"4","3.299353100","e8:b0:c5:2e:64:4a","ff:ff:ff:ff:ff:ff","0.0.0.0","255.255.255.255","68","67","0x4d8d939a","e8:b0:c5:2e:64:4a,e8:b0:c5:2e:64:4a","0.0.0.0","0.0.0.0","3","10.21.225.70","10.3.9.2",,,,
"5","3.315829000","10:4f:58:6c:24:00","e8:b0:c5:2e:64:4a","10.3.9.2","255.255.255.255","67","68","0x4d8d939a","e8:b0:c5:2e:64:4a","0.0.0.0","10.21.225.70","5",,"10.3.9.2","255.255.128.0","10.21.128.1","10.3.9.6,10.3.9.5,10.3.9.4","3600"
