frame.number,frame.time_relative,ip.src,ip.dst,ip.ttl,ip.proto,ip.len,icmp.type,icmp.code,icmp.checksum,icmp.ident,icmp.ident_le,icmp.seq,icmp.seq_le,data.len
"1108","25.039148500","10.21.225.70","10.3.19.2","128","1","60","8","0","0x4d38","1","256","35","8960","32"
"1109","25.056176300","10.3.19.2","10.21.225.70","58","1","60","0","0","0x5538","1","256","35","8960","32"
"1122","26.055219500","10.21.225.70","10.3.19.2","128","1","60","8","0","0x4d37","1","256","36","9216","32"
"1123","26.059670100","10.3.19.2","10.21.225.70","58","1","60","0","0","0x5537","1","256","36","9216","32"
"1174","27.066625700","10.21.225.70","10.3.19.2","128","1","60","8","0","0x4d36","1","256","37","9472","32"
"1175","27.071700400","10.3.19.2","10.21.225.70","58","1","60","0","0","0x5536","1","256","37","9472","32"
"1186","28.077030000","10.21.225.70","10.3.19.2","128","1","60","8","0","0x4d35","1","256","38","9728","32"
"1187","28.086796100","10.3.19.2","10.21.225.70","58","1","60","0","0","0x5535","1","256","38","9728","32"
